,dispatch_date,dispatch_time,location_block,crime_category,point_x,point_y
2496,2023-02-04,00:00:00,400 BLOCK N 59TH ST,Homicide,-75.23745359,39.96796405
2892,2023-02-03,00:00:00,2300 BLOCK  BAILEY TER,Homicide,-75.18994124,39.9239692
2894,2023-02-03,00:00:00,4000 BLOCK  MARKET ST,Homicide,-75.20223678,39.95715757
3338,2023-02-02,00:00:00,1200 BLOCK S 23RD ST,Homicide,-75.18216298,39.93679148
3776,2023-02-01,00:00:00,2600 BLOCK N 13TH ST,Homicide,-75.15250825,39.99291785
3778,2023-02-01,00:00:00,3100 BLOCK  F ST,Homicide,-75.11773376,39.99542608
3781,2023-02-01,00:00:00,2400 BLOCK N NAPA ST,Homicide,-75.18321228,39.9934128
4710,2023-01-30,00:00:00,500 BLOCK N SIMPSON ST,Homicide,-75.24791723,39.9718537
5502,2023-01-28,00:00:00,0 BLOCK W GODFREY AV,Homicide,-75.11979623,40.04459123
7746,2023-01-23,00:00:00,2000 BLOCK  SCATTERGOOD ST,Homicide,-75.07016574,40.01447511
9046,2023-01-20,00:00:00,2200 BLOCK N BROAD ST,Homicide,-75.15625466,39.98654059
9485,2023-01-19,00:00:00,3500 BLOCK  KENSINGTON AV,Homicide,-75.10594836,40.00050542
9959,2023-01-18,00:00:00,5400 BLOCK  CHESTER AV,Homicide,-75.22325883,39.93949407
9960,2023-01-18,00:00:00,4300 BLOCK  JOSEPHINE ST,Homicide,-75.08413178,40.00892458
9961,2023-01-18,00:00:00,5700 BLOCK  BALTIMORE AV,Homicide,-75.23967789,39.94594919
10472,2023-01-17,00:00:00,1600 BLOCK  FOULKROD ST,Homicide,-75.08260542,40.01786838
10473,2023-01-17,00:00:00,7100 BLOCK  TORRESDALE AV,Homicide,-75.03733191,40.02903087
10474,2023-01-17,00:00:00,5400 BLOCK  CHESTER AV,Homicide,-75.22325883,39.93949407
10917,2023-01-16,00:00:00,2100 BLOCK N 20TH ST,Homicide,-75.16610825,39.98602351
11266,2023-01-15,00:00:00,1700 BLOCK W ATLANTIC ST,Homicide,-75.15660375,40.00753101
13092,2023-01-11,00:00:00,1400 BLOCK W ERIE AVE,Homicide,-75.15233302,40.00932941
14044,2023-01-09,00:00:00,7300 BLOCK  ROWLAND AVE,Homicide,-75.04581859,40.03960226
14045,2023-01-09,00:00:00,7300 BLOCK  ROWLAND AVE,Homicide,-75.04581859,40.03960226
14046,2023-01-09,00:00:00,7300 BLOCK  ROWLAND AVE,Homicide,-75.04581859,40.03960226
15280,2023-01-06,00:00:00,3200 BLOCK N 13TH ST,Homicide,-75.15058129,40.00202334
16229,2023-01-04,00:00:00,1600 BLOCK  DYRE ST,Homicide,-75.07872,40.02098437
16230,2023-01-04,00:00:00,4700 BLOCK N BROAD ST,Homicide,-75.14793515,40.02478211
16730,2023-01-03,00:00:00,900 BLOCK W HUNTING PARK AV,Homicide,-75.14161989,40.01593377
16731,2023-01-03,00:00:00,3500 BLOCK  GERMANTOWN AV,Homicide,-75.14984553,40.00632631
