,dispatch_date,dispatch_time,location_block,crime_category,point_x,point_y
63,2023-02-09,17:14:00,900 BLOCK KENMORE RD,Rape,-75.25172275,39.97658044
66,2023-02-09,17:11:00,300 BLOCK W FISHER AV,Rape,-75.12896372,40.03138379
421,2023-02-08,20:07:00,8000 BLOCK GILBERT ST,Rape,-75.17177812,40.072448
545,2023-02-08,16:20:00,8300 BLOCK JEANES ST,Rape,-75.07771798,40.08128332
1240,2023-02-07,04:56:00,S 10TH ST & SPRUCE ST ,Rape,-75.1579085,39.94613495
1326,2023-02-06,20:25:00,200 BLOCK PASSMORE ST,Rape,-75.0992857,40.05294045
1881,2023-02-05,16:21:00,800 BLOCK N MARKOE ST,Rape,-75.21486184,39.96805916
1935,2023-02-05,14:05:00,700 BLOCK COTTMAN AV,Rape,-75.08783848,40.06289153
2467,2023-02-04,03:20:00,1600 BLOCK N MARSHALL ST,Rape,-75.14594444,39.97682622
2662,2023-02-03,14:13:00,2100 BLOCK SOUTH ST,Rape,-75.17770491,39.9453403
2849,2023-02-03,06:25:00,300 BLOCK SOUTH ST,Rape,-75.14789528,39.94130039
2863,2023-02-03,02:21:00,2000 BLOCK BELLEVUE ST,Rape,-75.16274044,40.00505816
3351,2023-02-01,22:04:00,1400 BLOCK WIDENER PL,Rape,-75.14504233,40.04360986
4156,2023-01-31,09:54:00,700 BLOCK W CUMBERLAND ST,Rape,-75.14546912,39.98959846
4644,2023-01-30,08:40:00,6300 BLOCK MORTON ST,Rape,-75.17839314,40.04686885
4651,2023-01-30,08:16:00,5200 BLOCK N WARNOCK ST,Rape,-75.13966078,40.03226248
4678,2023-01-30,05:37:00,400 BLOCK N BROAD ST,Rape,-75.16285986,39.96007402
4680,2023-01-30,04:51:00,4700 BLOCK RISING SUN AV,Rape,-75.12461712,40.02258496
4789,2023-01-29,19:53:00,1800 BLOCK E CLEMENTINE ST,Rape,-75.11487067,39.99561295
5646,2023-01-27,15:43:00,5700 BLOCK N 16TH ST,Rape,-75.14744108,40.04158984
5886,2023-01-27,06:31:00,1300 BLOCK ARROTT ST,Rape,-75.08637833,40.01794902
5893,2023-01-27,04:59:00,N BROAD ST & W OLNEY AV ,Rape,-75.14475191,40.03908202
6151,2023-01-26,14:15:00,2000 BLOCK 69TH AV,Rape,-75.15142796,40.05883663
6666,2023-01-25,10:42:00,2200 BLOCK W TIOGA ST,Rape,-75.16522375,40.00819008
