,dispatch_date,dispatch_time,location_block,crime_category,point_x,point_y
7,2023-02-09,19:54:00,5600 BLOCK Beaumont St,Robbery,-75.22908397,39.94062514
121,2023-02-09,15:11:00,4100 BLOCK LANCASTER AV,Robbery,-75.20571053,39.96497356
144,2023-02-09,14:07:00,S 15TH ST & MARKET ST ,Robbery,-75.16522971,39.95258581
298,2023-02-09,08:26:00,500 BLOCK W HILL CREEK DR,Robbery,-75.11129287,40.03724478
343,2023-02-09,03:28:00,N 6TH ST  & SPRING GARDEN ST ,Robbery,-75.14821395,39.96128568
352,2023-02-09,01:40:00,7700 BLOCK CASTOR AV,Robbery,-75.06036572,40.05779091
366,2023-02-09,00:15:00,3800 BLOCK N REESE ST,Robbery,-75.13707882,40.00950255
390,2023-02-08,21:46:00,5900 BLOCK BELDEN ST,Robbery,-75.08525555,40.03497307
427,2023-02-08,20:00:00,1100 BLOCK W SILVER ST,Robbery,-75.14945593,39.99419013
451,2023-02-08,19:13:00,FRANKFORD AV  & SHELMIRE AV ,Robbery,-75.03627966,40.03845025
492,2023-02-08,17:58:00,1600 BLOCK E MOUNT AIRY AV,Robbery,-75.17107836,40.07964602
528,2023-02-08,16:39:00,6300 BLOCK KEYSTONE ST,Robbery,-75.05042464,40.01872812
585,2023-02-08,14:26:00,4200 BLOCK Frankford Ave,Robbery,-75.08871202,40.01081666
630,2023-02-08,13:23:00,6500 BLOCK ENOLA ST,Robbery,-75.08556961,40.04630096
646,2023-02-08,12:51:00,100 BLOCK CECIL B MOORE AV,Robbery,-75.13641712,39.97572311
722,2023-02-08,10:25:00,S 8TH ST & MARKET ST ,Robbery,-75.1535853,39.95113623
814,2023-02-08,06:35:00,400 BLOCK W THOMPSON ST,Robbery,-75.14290327,39.97119768
834,2023-02-08,02:37:00,0 BLOCK N 19TH ST,Robbery,-75.17156776,39.9534207
839,2023-02-08,01:30:00,1500 BLOCK MARKET ST,Robbery,-75.16615407,39.95218006
844,2023-02-08,00:41:00,8700 BLOCK Marsden St,Robbery,-75.00943785,40.04504684
854,2023-02-07,23:45:00,500 BLOCK LIVEZEY ST,Robbery,-75.22349938,40.04473685
880,2023-02-07,21:26:00,1700 BLOCK N GRATZ ST,Robbery,-75.16474715,39.98004322
883,2023-02-07,21:12:00,700 BLOCK W Atlantic St,Robbery,-75.14113858,40.00543746
890,2023-02-07,20:54:00,4800 BLOCK N 16TH ST,Robbery,-75.15078288,40.02662292
933,2023-02-07,19:13:00,1900 BLOCK 68TH AV,Robbery,-75.15059426,40.05738563
937,2023-02-07,19:09:00,600 BLOCK ALCOTT ST,Robbery,-75.09958606,40.04177645
938,2023-02-07,19:09:00,5600 BLOCK GRAYS AV,Robbery,-75.21913707,39.93221595
955,2023-02-07,18:26:00,1500 BLOCK N BROAD ST,Robbery,-75.15744445,39.97645707
965,2023-02-07,18:04:00,1400 BLOCK E PASSYUNK AV,Robbery,-75.16214902,39.93209636
1024,2023-02-07,15:57:00,200 BLOCK S SYDENHAM ST,Robbery,-75.16664781,39.94888048
1047,2023-02-07,14:47:00,5400 BLOCK N 5TH ST,Robbery,-75.13080838,40.03355767
1050,2023-02-07,14:41:00,2200 BLOCK Wheatsheaf Ln,Robbery,-75.09236779,39.99889213
1061,2023-02-07,13:57:00,4800 BLOCK WALNUT ST,Robbery,-75.21851525,39.95615392
1140,2023-02-07,11:27:00,400 BLOCK S 19TH ST,Robbery,-75.17288842,39.94589896
1218,2023-02-07,08:02:00,3500 BLOCK KENSINGTON AV,Robbery,-75.10536776,40.00066031
1225,2023-02-07,07:40:00,6400 BLOCK N 20TH ST,Robbery,-75.15147064,40.05203753
1229,2023-02-07,06:59:00,400 BLOCK W SUSQUEHANNA AV,Robbery,-75.14020016,39.98417842
1250,2023-02-07,03:41:00,0 BLOCK W ROCKLAND ST,Robbery,-75.16202901,40.02758525
1253,2023-02-07,03:03:00,N 42ND ST  & MARKET ST ,Robbery,-75.20607767,39.95766822
1260,2023-02-07,01:33:00,1800 BLOCK E Somerset St,Robbery,-75.12254232,39.99139079
1474,2023-02-06,15:52:00,5600 BLOCK WYNDALE AV,Robbery,-75.23739002,39.98868199
1504,2023-02-06,14:51:00,1700 BLOCK S CHRISTOPHER COLUMBUS BLVD,Robbery,-75.14502823,39.92640857
