,dispatch_date,dispatch_time,location_block,crime_category,point_x,point_y
5,2023-02-09,19:56:00,Pia Baggage Claim D,Theft,-75.23066879,39.88390405
14,2023-02-09,19:29:00,1900 BLOCK FAIRMOUNT AV,Theft,-75.16968373,39.96701005
15,2023-02-09,19:29:00,2300 BLOCK E ALLEGHENY AV,Theft,-75.10753437,39.98944638
16,2023-02-09,19:27:00,5900 BLOCK E ROOSEVELT BLVD,Theft,-75.07986568,40.03256178
20,2023-02-09,19:06:00,1300 BLOCK WINDRIM AV,Theft,-75.1456797,40.03007454
22,2023-02-09,19:00:00,4000 BLOCK MONUMENT RD,Theft,-75.21231869,40.00609204
23,2023-02-09,18:58:00,2200 BLOCK BRYN MAWR AV,Theft,-75.22605766,39.99026274
25,2023-02-09,18:55:00,2500 BLOCK WELSH RD,Theft,-75.03068483,40.07026524
27,2023-02-09,18:51:00,7000 BLOCK DITMAN ST,Theft,-75.04137166,40.02867769
35,2023-02-09,18:34:00,7500 BLOCK BRIAR RD,Theft,-75.15464585,40.06938848
39,2023-02-09,18:25:00,1300 BLOCK W LEHIGH AV,Theft,-75.15315767,39.99267708
40,2023-02-09,18:15:00,1300 BLOCK W LEHIGH AV,Theft,-75.15315767,39.99267708
41,2023-02-09,18:15:00,2300 BLOCK E DAUPHIN ST,Theft,-75.12703346,39.97857421
42,2023-02-09,18:07:00,7500 BLOCK MALVERN AV,Theft,-75.2646768,39.97415955
47,2023-02-09,17:54:00,KELLY DR  & FOUNTAIN GREEN DR ,Theft,-75.19800378,39.98063007
48,2023-02-09,17:53:00,FRANKLIN MILLS MALL @ 1455 FRANKLIN MILLS CIR ,Theft,-74.95937071,40.0865651
50,2023-02-09,17:42:00,500 BLOCK W CLAPIER ST,Theft,-75.17135936,40.01996421
54,2023-02-09,17:35:00,100 BLOCK JEFFERSON ST,Theft,-75.13543407,39.97314612
56,2023-02-09,17:25:00,1200 BLOCK N 15TH ST,Theft,-75.16073928,39.97241776
58,2023-02-09,17:22:00,3300 BLOCK MARKET ST,Theft,-75.19032944,39.95650778
64,2023-02-09,17:12:00,2300 BLOCK TURNER ST,Theft,-75.17279394,39.97979168
67,2023-02-09,17:10:00,1600 BLOCK BRIDGE ST,Theft,-75.07607512,40.02309128
72,2023-02-09,17:01:00,S 16TH ST & LOCUST ST ,Theft,-75.16777286,39.94861413
74,2023-02-09,16:50:00,2600 BLOCK TILTON ST,Theft,-75.11461786,39.97750597
76,2023-02-09,16:49:00,7200 BLOCK ROWLAND AV,Theft,-75.04740727,40.03792568
78,2023-02-09,16:47:00,1300 BLOCK MARKET ST,Theft,-75.16167311,39.95221731
82,2023-02-09,16:44:00,2900 BLOCK DIAMOND ST,Theft,-75.18086321,39.98802263
86,2023-02-09,16:37:00,5500 BLOCK TULIP ST,Theft,-75.06694066,40.01224629
89,2023-02-09,16:30:00,6400 BLOCK N BROAD ST,Theft,-75.14166336,40.05091895
90,2023-02-09,16:27:00,1600 BLOCK E TULPEHOCKEN ST,Theft,-75.16080271,40.06139811
91,2023-02-09,16:26:00,3000 BLOCK FOX ST,Theft,-75.16652878,40.00041308
93,2023-02-09,16:22:00,1600 BLOCK GREEN ST,Theft,-75.16560383,39.96458886
94,2023-02-09,16:21:00,5500 BLOCK CHANCELLOR ST,Theft,-75.23167374,39.95723549
95,2023-02-09,16:19:00,8800 BLOCK BARTRAM AV,Theft,-75.24812434,39.88630904
97,2023-02-09,16:16:00,3900 BLOCK CITY AV,Theft,-75.20573253,40.00799174
98,2023-02-09,16:15:00,7400 BLOCK HOLSTEIN AV,Theft,-75.2290597,39.90324235
99,2023-02-09,16:14:00,400 BLOCK S 59TH ST,Theft,-75.24016796,39.95521773
101,2023-02-09,16:10:00,6300 BLOCK STENTON AV,Theft,-75.16657644,40.0597218
102,2023-02-09,16:08:00,5400 BLOCK WISSAHICKON AV 610A,Theft,-75.18106677,40.02450288
104,2023-02-09,16:02:00,5200 BLOCK TORRESDALE AV,Theft,-75.06759487,40.01406224
108,2023-02-09,15:55:00,1800 BLOCK S 9TH ST,Theft,-75.16041561,39.92633593
109,2023-02-09,15:51:00,1400 BLOCK WALLACE ST,Theft,-75.16165984,39.96526084
110,2023-02-09,15:48:00,3600 BLOCK MIDVALE AV,Theft,-75.19301288,40.01283191
112,2023-02-09,15:46:00,4000 BLOCK COTTMAN AV,Theft,-75.03962655,40.03611808
115,2023-02-09,15:37:00,1700 BLOCK PLYMOUTH ST,Theft,-75.14544612,40.06427963
116,2023-02-09,15:37:00,8500 BLOCK TEMPLE RD,Theft,-75.17805145,40.08014768
118,2023-02-09,15:26:00,3600 BLOCK MIDVALE AV,Theft,-75.19301288,40.01283191
119,2023-02-09,15:22:00,1500 BLOCK N HOWARD ST,Theft,-75.13569313,39.97352848
127,2023-02-09,14:51:00,900 BLOCK N 65TH ST,Theft,-75.24952482,39.97736254
133,2023-02-09,14:38:00,7500 BLOCK HOLSTEIN AV,Theft,-75.22851144,39.90130533
134,2023-02-09,14:35:00,600 BLOCK W THOMPSON ST,Theft,-75.14671927,39.97147434
136,2023-02-09,14:26:00,800 BLOCK ADAMS AV,Theft,-75.09717891,40.02312773
138,2023-02-09,14:20:00,1000 BLOCK Market St,Theft,-75.15708202,39.952145
141,2023-02-09,14:16:00,1600 BLOCK CHESTNUT ST,Theft,-75.16777231,39.95106184
143,2023-02-09,14:10:00,100 BLOCK RECTOR ST,Theft,-75.2201188,40.02514134
146,2023-02-09,13:53:00,7000 BLOCK FRANKFORD AV,Theft,-75.04624888,40.03362023
148,2023-02-09,13:51:00,2500 BLOCK INGERSOLL ST,Theft,-75.17694105,39.97652433
149,2023-02-09,13:48:00,0 BLOCK SNYDER AV,Theft,-75.1377865,39.91963731
150,2023-02-09,13:43:00,800 BLOCK N 45TH ST,Theft,-75.21261715,39.96898052
151,2023-02-09,13:43:00,2800 BLOCK WALNUT HILL ST,Theft,-75.02921432,40.06370272
154,2023-02-09,13:28:00,1300 BLOCK MARKET ST,Theft,-75.16167311,39.95221731
155,2023-02-09,13:26:00,1600 BLOCK W HUNTING PARK AV,Theft,-75.15134546,40.01621532
156,2023-02-09,13:21:00,3800 BLOCK N 10TH ST,Theft,-75.14427377,40.0116472
157,2023-02-09,13:20:00,2200 BLOCK S CHRISTOPHER COLUMBUS BLVD,Theft,-75.14148525,39.91722979
159,2023-02-09,13:20:00,1200 BLOCK PRATT ST 1,Theft,-75.08428623,40.02575882
160,2023-02-09,13:18:00,900 BLOCK MARKET ST,Theft,-75.15605032,39.95197599
163,2023-02-09,13:16:00,3900 BLOCK CITY AV J1028,Theft,-75.20573253,40.00799174
164,2023-02-09,13:13:00,1700 BLOCK CHESTNUT ST,Theft,-75.17007778,39.95136003
166,2023-02-09,13:11:00,3500 BLOCK B St,Theft,-75.12415748,40.00379033
170,2023-02-09,13:06:00,0 BLOCK S 2ND ST,Theft,-75.14389644,39.94904223
171,2023-02-09,12:59:00,600 BLOCK W RITTENHOUSE ST,Theft,-75.18528848,40.02990065
177,2023-02-09,12:48:00,5700 BLOCK GRAYS AV,Theft,-75.22155108,39.9309915
178,2023-02-09,12:45:00,1300 BLOCK MARKET ST,Theft,-75.16167311,39.95221731
179,2023-02-09,12:44:00,0 BLOCK SNYDER AV,Theft,-75.1377865,39.91963731
182,2023-02-09,12:40:00,9500 BLOCK CLARK ST,Theft,-75.0313866,40.08308006
184,2023-02-09,12:36:00,1500 BLOCK S 16TH ST,Theft,-75.17136433,39.93111073
187,2023-02-09,12:32:00,800 BLOCK HELLERMAN ST,Theft,-75.08875963,40.04750424
188,2023-02-09,12:31:00,7000 BLOCK WOODLAND AV,Theft,-75.24195549,39.91989327
191,2023-02-09,12:17:00,4600 BLOCK W GIRARD AV,Theft,-75.21394734,39.97304326
197,2023-02-09,12:07:00,6900 BLOCK KINDRED ST,Theft,-75.06838449,40.0444232
198,2023-02-09,12:05:00,600 BLOCK PERTH PL,Theft,-75.15144223,39.96275449
201,2023-02-09,11:55:00,200 BLOCK SAINT MARKS SQ,Theft,-75.20765232,39.95397393
203,2023-02-09,11:46:00,1300 BLOCK N AMERICAN ST,Theft,-75.1400843,39.97108223
204,2023-02-09,11:43:00,0 BLOCK W WEAVER ST,Theft,-75.18422726,40.04845679
208,2023-02-09,11:36:00,2100 BLOCK BRYN MAWR AV,Theft,-75.22648651,39.98952633
209,2023-02-09,11:34:00,300 BLOCK E ALLEGHENY AV GROUND,Theft,-75.1236743,39.99735512
210,2023-02-09,11:33:00,1100 BLOCK N 65TH ST,Theft,-75.2513035,39.97888461
213,2023-02-09,11:27:00,800 BLOCK ANCHOR ST,Theft,-75.09009352,40.0345775
214,2023-02-09,11:24:00,3400 BLOCK FOX ST,Theft,-75.1801339,40.01612979
215,2023-02-09,11:23:00,5800 BLOCK RACE ST,Theft,-75.23718835,39.96452413
216,2023-02-09,11:22:00,2000 BLOCK S 60th St,Theft,-75.23003551,39.93235678
217,2023-02-09,11:21:00,2600 BLOCK SPRING GARDEN ST,Theft,-75.18109255,39.96421556
220,2023-02-09,11:19:00,300 BLOCK S 22ND ST,Theft,-75.17776324,39.94799936
224,2023-02-09,11:06:00,9700 BLOCK E ROOSEVELT BLVD,Theft,-75.02269569,40.08660051
228,2023-02-09,10:54:00,5700 BLOCK HAVERFORD AV,Theft,-75.23378434,39.96803008
229,2023-02-09,10:53:00,2900 BLOCK W CLEARFIELD ST,Theft,-75.17820226,40.00240696
231,2023-02-09,10:48:00,2300 BLOCK COTTMAN AV,Theft,-75.05686252,40.04771558
233,2023-02-09,10:41:00,4000 BLOCK MARKET ST,Theft,-75.20231955,39.95751865
234,2023-02-09,10:41:00,12300 BLOCK KNIGHTS RD,Theft,-74.96957653,40.08890287
242,2023-02-09,10:24:00,5900 BLOCK N 13TH ST,Theft,-75.14175867,40.04381046
244,2023-02-09,10:16:00,2900 BLOCK W SCHOOL HOUSE LA,Theft,-75.1817142,40.02563083
249,2023-02-09,10:11:00,7400 BLOCK OXFORD AV,Theft,-75.08405096,40.06448131
250,2023-02-09,10:10:00,FRANKFORD AV  & E CLEARFIELD ST ,Theft,-75.11277685,39.99175613
251,2023-02-09,10:09:00,6300 BLOCK TORRESDALE AV,Theft,-75.05207037,40.02099797
252,2023-02-09,10:08:00,500 BLOCK GENEVA AV,Theft,-75.11448774,40.03155727
255,2023-02-09,10:02:00,1500 BLOCK RIDGE AVE,Theft,-75.16290612,39.96907164
256,2023-02-09,09:54:00,5300 BLOCK AKRON ST 2,Theft,-75.07999164,40.02694794
261,2023-02-09,09:48:00,6500 BLOCK EVERETT AV,Theft,-75.07439256,40.04046593
265,2023-02-09,09:43:00,600 BLOCK W GIRARD AV,Theft,-75.1478362,39.97055437
266,2023-02-09,09:39:00,4100 BLOCK PASSMORE ST,Theft,-75.05579214,40.02834756
269,2023-02-09,09:35:00,1600 BLOCK N 16th St,Theft,-75.16148839,39.97868678
271,2023-02-09,09:30:00,1300 BLOCK W SOMERVILLE AV,Theft,-75.14421739,40.03460152
272,2023-02-09,09:25:00,200 BLOCK LINTON ST,Theft,-75.12545164,40.0413996
273,2023-02-09,09:20:00,200 BLOCK W OXFORD ST,Theft,-75.14080788,39.97471291
274,2023-02-09,09:18:00,2700 BLOCK WILLITS RD,Theft,-75.02633143,40.06591607
277,2023-02-09,09:07:00,1700 BLOCK GERMANTOWN AV,Theft,-75.14308177,39.97714261
278,2023-02-09,09:04:00,N 26TH ST  & RIDGE AV ,Theft,-75.17671815,39.98374246
279,2023-02-09,09:01:00,3200 BLOCK RED LION RD,Theft,-74.99370323,40.08012135
280,2023-02-09,09:00:00,9700 BLOCK CHAPEL RD,Theft,-75.04006908,40.09700502
281,2023-02-09,09:00:00,5500 BLOCK TULIP ST,Theft,-75.06694066,40.01224629
283,2023-02-09,08:57:00,7400 BLOCK OXFORD AV,Theft,-75.08405096,40.06448131
285,2023-02-09,08:56:00,700 BLOCK N 4TH ST,Theft,-75.14463472,39.96276188
286,2023-02-09,08:54:00,1500 BLOCK SPRUCE ST,Theft,-75.1667627,39.94693215
287,2023-02-09,08:53:00,2600 BLOCK SEPVIVA ST,Theft,-75.12133334,39.98328274
288,2023-02-09,08:51:00,500 BLOCK MONTROSE ST,Theft,-75.15270791,39.93671045
290,2023-02-09,08:43:00,5600 BLOCK W BERKS ST,Theft,-75.2367381,39.98514281
