,dispatch_date,dispatch_time,location_block,crime_category,point_x,point_y
0,2023-02-09,20:54:00,3700 BLOCK S HEREFORD LA,Other Assaults,-74.98698972,40.0677585
1,2023-02-09,20:43:00,6300 BLOCK MILTON ST,All Other Offenses,-75.1685817,40.05541963
2,2023-02-09,20:33:00,6600 BLOCK N BROAD ST,Other Assaults,-75.14163793,40.05472346
3,2023-02-09,20:19:00,1800 BLOCK W SUSQUEHANNA AV,Narcotic / Drug Law Violations,-75.16408487,39.98729413
4,2023-02-09,19:58:00,600 BLOCK RENZ ST,Fraud,-75.22891556,40.05108404
5,2023-02-09,19:56:00,Pia Baggage Claim D,Thefts,-75.23066879,39.88390405
6,2023-02-09,19:55:00,6200 BLOCK N BOUVIER ST,Aggravated Assault Firearm,-75.14808753,40.04857404
7,2023-02-09,19:54:00,5600 BLOCK Beaumont St,Robbery Firearm,-75.22908397,39.94062514
8,2023-02-09,19:52:00,2000 BLOCK WINCHESTER AV,Other Assaults,-75.04168405,40.0753357
9,2023-02-09,19:47:00,5900 BLOCK BELMAR ST,Other Assaults,-75.23223674,39.9355509
10,2023-02-09,19:42:00,7900 BLOCK ROCKWELL AV,Vandalism/Criminal Mischief,-75.08278222,40.07452391
11,2023-02-09,19:33:00,100 BLOCK N ALDEN ST,Aggravated Assault Firearm,-75.2350234,39.96289657
12,2023-02-09,19:30:00,1800 BLOCK W HUNTINGDON ST,Weapon Violations,-75.16180364,39.99323134
13,2023-02-09,19:29:00,500 BLOCK E WALNUT LA,Other Assaults,-75.17075459,40.04835261
14,2023-02-09,19:29:00,1900 BLOCK FAIRMOUNT AV,Thefts,-75.16968373,39.96701005
15,2023-02-09,19:29:00,2300 BLOCK E ALLEGHENY AV,Motor Vehicle Theft,-75.10753437,39.98944638
16,2023-02-09,19:27:00,5900 BLOCK E ROOSEVELT BLVD,Theft from Vehicle,-75.07986568,40.03256178
17,2023-02-09,19:27:00,4500 BLOCK N GRATZ ST,Aggravated Assault Firearm,-75.15583027,40.02302624
18,2023-02-09,19:22:00,5600 BLOCK CATHARINE ST,Vandalism/Criminal Mischief,-75.23546476,39.94980924
19,2023-02-09,19:11:00,3100 BLOCK FRANKFORD AV,Other Assaults,-75.11235167,39.99286622
20,2023-02-09,19:06:00,1300 BLOCK WINDRIM AV,Thefts,-75.1456797,40.03007454
21,2023-02-09,19:05:00,4000 BLOCK GLENDALE ST,All Other Offenses,-75.10100759,40.00828759
22,2023-02-09,19:00:00,4000 BLOCK MONUMENT RD,Thefts,-75.21231869,40.00609204
23,2023-02-09,18:58:00,2200 BLOCK BRYN MAWR AV,Motor Vehicle Theft,-75.22605766,39.99026274
24,2023-02-09,18:57:00,2000 BLOCK S 27TH ST,Vandalism/Criminal Mischief,-75.19113531,39.92773543
25,2023-02-09,18:55:00,2500 BLOCK WELSH RD,Thefts,-75.03068483,40.07026524
26,2023-02-09,18:51:00,3900 BLOCK FAIRMOUNT AV,Aggravated Assault No Firearm,-75.20065471,39.96560175
27,2023-02-09,18:51:00,7000 BLOCK DITMAN ST,Thefts,-75.04137166,40.02867769
28,2023-02-09,18:46:00,6300 BLOCK N 10TH ST,Fraud,-75.13533629,40.04772387
29,2023-02-09,18:45:00,4400 BLOCK N BROAD ST,Aggravated Assault Firearm,-75.1482386,40.02115638
30,2023-02-09,18:40:00,4800 BLOCK PULASKI AV,Burglary Non-Residential,-75.16710559,40.02282133
31,2023-02-09,18:39:00,2700 BLOCK N FRONT ST,Weapon Violations,-75.13090815,39.99094743
32,2023-02-09,18:39:00,4400 BLOCK UNRUH AV,All Other Offenses,-75.04934949,40.02712788
33,2023-02-09,18:38:00,0 BLOCK MIFFLIN ST,Other Assaults,-75.14615466,39.92439906
35,2023-02-09,18:34:00,7500 BLOCK BRIAR RD,Motor Vehicle Theft,-75.15464585,40.06938848
36,2023-02-09,18:34:00,2800 BLOCK SAXTON RD,Aggravated Assault No Firearm,-75.01493937,40.0686178
37,2023-02-09,18:31:00,2700 BLOCK CECIL B MOORE AV,Other Assaults,-75.17909657,39.98138477
38,2023-02-09,18:29:00,1300 BLOCK WALNUT ST,All Other Offenses,-75.16282306,39.94885689
39,2023-02-09,18:25:00,1300 BLOCK W LEHIGH AV,Thefts,-75.15315767,39.99267708
40,2023-02-09,18:15:00,1300 BLOCK W LEHIGH AV,Thefts,-75.15315767,39.99267708
41,2023-02-09,18:15:00,2300 BLOCK E DAUPHIN ST,Theft from Vehicle,-75.12703346,39.97857421
42,2023-02-09,18:07:00,7500 BLOCK MALVERN AV,Motor Vehicle Theft,-75.2646768,39.97415955
43,2023-02-09,18:05:00,3500 BLOCK JOYCE ST,All Other Offenses,-75.10277714,39.99763837
44,2023-02-09,18:02:00,600 BLOCK E GIRARD AV,All Other Offenses,-75.12678443,39.97180428
45,2023-02-09,18:02:00,6100 BLOCK ELMWOOD AV,Other Assaults,-75.22576599,39.92550701
46,2023-02-09,17:56:00,4700 BLOCK GRISCOM ST,Narcotic / Drug Law Violations,-75.08423701,40.01732588
